[rosmaster.main][INFO] 2020-09-15 01:10:49,841: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-09-15 01:10:49,842: Starting ROS Master Node
[rosmaster.master][INFO] 2020-09-15 01:10:50,111: +PARAM [/move_base/DWAPlannerROS/scaling_speed] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,112: +PARAM [/move_base/controller_frequency] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,112: +PARAM [/move_base/DWAPlannerROS/theta_stopped_vel] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,112: +PARAM [/amcl/laser_max_beams] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,112: +PARAM [/move_base/global_costmap/obstacle_layer/enabled] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,113: +PARAM [/move_base/oscillation_timeout] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,113: +PARAM [/move_base/DWAPlannerROS/sim_time] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,113: +PARAM [/amcl/laser_model_type] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,113: +PARAM [/amcl/odom_model_type] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,113: +PARAM [/amcl/laser_sigma_hit] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,114: +PARAM [/amcl/recovery_alpha_fast] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,114: +PARAM [/move_base/DWAPlannerROS/yaw_goal_tolerance] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,114: +PARAM [/move_base/clearing_rotation_allowed] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,114: +PARAM [/move_base/DWAPlannerROS/acc_lim_theta] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,115: +PARAM [/apply_calib/calib_file] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,115: +PARAM [/imu_filter_madgwick/world_frame] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,115: +PARAM [/move_base/global_costmap/inflation_layer/enabled] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,115: +PARAM [/move_base/global_costmap/static_layer/map_topic] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,115: +PARAM [/ekf_localization/two_d_mode] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,116: +PARAM [/move_base/local_costmap/width] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,116: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,116: +PARAM [/move_base/local_costmap/obstacle_layer/laser_scan_sensor/clearing] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,116: +PARAM [/move_base/oscillation_distance] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,117: +PARAM [/move_base/DWAPlannerROS/prune_plan] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,117: +PARAM [/move_base/DWAPlannerROS/oscillation_reset_angle] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,117: +PARAM [/amcl/odom_alpha4] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,117: +PARAM [/amcl/odom_alpha5] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,117: +PARAM [/move_base/DWAPlannerROS/angular_sim_granularity] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,118: +PARAM [/amcl/odom_alpha1] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,118: +PARAM [/amcl/odom_alpha2] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,118: +PARAM [/amcl/odom_alpha3] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,118: +PARAM [/imu_filter_madgwick/use_magnetic_field_msg] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,119: +PARAM [/move_base/DWAPlannerROS/vy_samples] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,119: +PARAM [/move_base/DWAPlannerROS/acc_lim_trans] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,119: +PARAM [/move_base/local_costmap/obstacle_layer/laser_scan_sensor/data_type] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,119: +PARAM [/amcl/odom_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,119: +PARAM [/move_base/global_costmap/obstacle_layer/laser_scan_sensor/data_type] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,120: +PARAM [/move_base/local_costmap/obstacle_layer/enabled] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,120: +PARAM [/ekf_localization/imu0_config] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,120: +PARAM [/move_base/DWAPlannerROS/max_vel_theta] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,120: +PARAM [/move_base/DWAPlannerROS/trans_stopped_vel] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,121: +PARAM [/move_base/global_costmap/obstacle_layer/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,121: +PARAM [/move_base/DWAPlannerROS/path_distance_bias] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,121: +PARAM [/ekf_localization/world_frame] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,121: +PARAM [/move_base/global_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,121: +PARAM [/move_base/local_costmap/obstacle_layer/combination_method] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,122: +PARAM [/rplidarNode/angle_compensate] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,122: +PARAM [/move_base/local_costmap/inflation_layer/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,122: +PARAM [/move_base/DWAPlannerROS/oscillation_reset_dist] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,122: +PARAM [/rplidarNode/serial_port] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,123: +PARAM [/amcl/max_particles] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,123: +PARAM [/amcl/laser_z_max] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,123: +PARAM [/move_base/local_costmap/obstacle_layer/track_unknown_space] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,123: +PARAM [/move_base/DWAPlannerROS/max_vel_trans] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,123: +PARAM [/amcl/min_particles] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,124: +PARAM [/move_base/global_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,124: +PARAM [/move_base/local_costmap/obstacle_layer/laser_scan_sensor/marking] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,124: +PARAM [/move_base/global_costmap/inflation_layer/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,124: +PARAM [/ekf_localization/odom0_relative] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,124: +PARAM [/move_base/local_costmap/static_layer/map_topic] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,125: +PARAM [/move_base/global_costmap/obstacle_layer/track_unknown_space] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,125: +PARAM [/move_base/local_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,125: +PARAM [/move_base/local_costmap/plugins] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,125: +PARAM [/move_base/DWAPlannerROS/occdist_scale] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,126: +PARAM [/rplidarNode/inverted] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,126: +PARAM [/move_base/local_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,126: +PARAM [/ekf_localization/imu0_relative] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,126: +PARAM [/amcl/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,126: +PARAM [/move_base/global_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,127: +PARAM [/move_base/DWAPlannerROS/acc_lim_y] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,127: +PARAM [/amcl/kld_err] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,127: +PARAM [/imu_filter_madgwick/use_mag] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,127: +PARAM [/imu_filter_madgwick/orientation_stddev] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,128: +PARAM [/move_base/DWAPlannerROS/forward_point_distance] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,128: +PARAM [/rplidarNode/serial_baudrate] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,128: +PARAM [/car_driver_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,128: +PARAM [/ekf_localization/odom0_config] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,128: +PARAM [/move_base/base_global_planner] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,129: +PARAM [/ekf_localization/odom0] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,129: +PARAM [/amcl/laser_likelihood_max_dist] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,129: +PARAM [/move_base/global_costmap/static_layer/enabled] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,129: +PARAM [/rplidarNode/frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,129: +PARAM [/move_base/DWAPlannerROS/min_vel_theta] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,130: +PARAM [/move_base/local_costmap/inflation_layer/enabled] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,130: +PARAM [/amcl/laser_z_hit] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,130: +PARAM [/move_base/DWAPlannerROS/max_vel_x] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,130: +PARAM [/move_base/local_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,131: +PARAM [/amcl/update_min_d] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,131: +PARAM [/move_base/local_costmap/obstacle_layer/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,131: +PARAM [/move_base/DWAPlannerROS/stop_time_buffer] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,131: +PARAM [/move_base/global_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,131: +PARAM [/ekf_localization/diagnostics_agg] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,132: +PARAM [/move_base/global_costmap/obstacle_layer/laser_scan_sensor/marking] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,132: +PARAM [/move_base/global_costmap/obstacle_layer/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,132: +PARAM [/move_base/local_costmap/static_layer/enabled] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,132: +PARAM [/ekf_localization/odom_frame] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,132: +PARAM [/move_base/local_costmap/obstacle_layer/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,133: +PARAM [/move_base/controller_patience] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,133: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,133: +PARAM [/move_base/local_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,133: +PARAM [/move_base/global_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,134: +PARAM [/move_base/DWAPlannerROS/acc_lim_x] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,134: +PARAM [/move_base/local_costmap/obstacle_layer/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,134: +PARAM [/ekf_localization/frequency] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,134: +PARAM [/imu_filter_madgwick/angular_scale] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,134: +PARAM [/amcl/kld_z] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,135: +PARAM [/amcl/resample_interval] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,135: +PARAM [/move_base/base_local_planner] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,135: +PARAM [/move_base/conservative_reset_dist] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,135: +PARAM [/move_base/planner_patience] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,136: +PARAM [/amcl/update_min_a] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,136: +PARAM [/move_base/DWAPlannerROS/max_vel_y] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,136: +PARAM [/move_base/global_costmap/obstacle_layer/combination_method] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,136: +PARAM [/move_base/local_costmap/obstacle_layer/laser_scan_sensor/topic] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,136: +PARAM [/move_base/local_costmap/inflation_layer/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,137: +PARAM [/move_base/local_costmap/rolling_window] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,137: +PARAM [/move_base/global_costmap/obstacle_layer/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,137: +PARAM [/move_base/global_costmap/obstacle_layer/laser_scan_sensor/topic] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:10:50,282: +PUB [/rosout] /apply_calib http://192.168.43.172:38489/
[rosmaster.master][INFO] 2020-09-15 01:10:50,285: +SERVICE [/apply_calib/get_loggers] /apply_calib http://192.168.43.172:38489/
[rosmaster.master][INFO] 2020-09-15 01:10:50,287: +SERVICE [/apply_calib/set_logger_level] /apply_calib http://192.168.43.172:38489/
[rosmaster.master][INFO] 2020-09-15 01:10:50,315: +SUB [/zxcar/imu] /apply_calib http://192.168.43.172:38489/
[rosmaster.master][INFO] 2020-09-15 01:10:50,329: +SUB [/zxcar/magnetic] /apply_calib http://192.168.43.172:38489/
[rosmaster.master][INFO] 2020-09-15 01:10:50,332: +PUB [/imu/data_raw] /apply_calib http://192.168.43.172:38489/
[rosmaster.master][INFO] 2020-09-15 01:10:50,335: +PUB [/imu/mag] /apply_calib http://192.168.43.172:38489/
[rosmaster.master][INFO] 2020-09-15 01:10:50,344: publisherUpdate[/rosout] -> http://192.168.43.172:37923/ ['http://192.168.43.172:38489/']
[rosmaster.master][INFO] 2020-09-15 01:10:50,352: publisherUpdate[/rosout] -> http://192.168.43.172:37923/ ['http://192.168.43.172:38489/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2020-09-15 01:10:50,372: +PUB [/rosout] /imu_filter_madgwick http://192.168.43.172:33563/
[rosmaster.master][INFO] 2020-09-15 01:10:50,374: +SERVICE [/imu_filter_madgwick/get_loggers] /imu_filter_madgwick http://192.168.43.172:33563/
[rosmaster.master][INFO] 2020-09-15 01:10:50,377: +SERVICE [/imu_filter_madgwick/set_logger_level] /imu_filter_madgwick http://192.168.43.172:33563/
[rosmaster.master][INFO] 2020-09-15 01:10:50,383: +PUB [/tf] /imu_filter_madgwick http://192.168.43.172:33563/
[rosmaster.master][INFO] 2020-09-15 01:10:50,430: +SERVICE [/imu_filter_madgwick/set_parameters] /imu_filter_madgwick http://192.168.43.172:33563/
[rosmaster.master][INFO] 2020-09-15 01:10:50,436: +PUB [/imu_filter_madgwick/parameter_descriptions] /imu_filter_madgwick http://192.168.43.172:33563/
[rosmaster.master][INFO] 2020-09-15 01:10:50,442: +PUB [/imu_filter_madgwick/parameter_updates] /imu_filter_madgwick http://192.168.43.172:33563/
[rosmaster.master][INFO] 2020-09-15 01:10:50,445: publisherUpdate[/rosout] -> http://192.168.43.172:37923/ ['http://192.168.43.172:38489/', 'http://192.168.43.172:33563/']
[rosmaster.master][INFO] 2020-09-15 01:10:50,450: +PUB [/rosout] /base_footprint_to_imu_link http://192.168.43.172:44915/
[rosmaster.master][INFO] 2020-09-15 01:10:50,453: publisherUpdate[/rosout] -> http://192.168.43.172:37923/ ['http://192.168.43.172:38489/', 'http://192.168.43.172:33563/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2020-09-15 01:10:50,455: +SERVICE [/base_footprint_to_imu_link/get_loggers] /base_footprint_to_imu_link http://192.168.43.172:44915/
[rosmaster.master][INFO] 2020-09-15 01:10:50,456: publisherUpdate[/rosout] -> http://192.168.43.172:37923/ ['http://192.168.43.172:38489/', 'http://192.168.43.172:33563/', 'http://192.168.43.172:44915/']
[rosmaster.master][INFO] 2020-09-15 01:10:50,473: +SERVICE [/base_footprint_to_imu_link/set_logger_level] /base_footprint_to_imu_link http://192.168.43.172:44915/
[rosmaster.master][INFO] 2020-09-15 01:10:50,475: publisherUpdate[/rosout] -> http://192.168.43.172:37923/ ['http://192.168.43.172:38489/', 'http://192.168.43.172:33563/', 'http://192.168.43.172:44915/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-09-15 01:10:50,485: +PARAM [/imu_filter_madgwick/gain] by /imu_filter_madgwick
[rosmaster.master][INFO] 2020-09-15 01:10:50,490: +PARAM [/imu_filter_madgwick/zeta] by /imu_filter_madgwick
[rosmaster.master][INFO] 2020-09-15 01:10:50,492: +PUB [/tf] /base_footprint_to_imu_link http://192.168.43.172:44915/
[rosmaster.master][INFO] 2020-09-15 01:10:50,495: +PARAM [/imu_filter_madgwick/mag_bias_x] by /imu_filter_madgwick
[rosmaster.master][INFO] 2020-09-15 01:10:50,499: +PARAM [/imu_filter_madgwick/mag_bias_y] by /imu_filter_madgwick
[rosmaster.master][INFO] 2020-09-15 01:10:50,502: +PARAM [/imu_filter_madgwick/mag_bias_z] by /imu_filter_madgwick
[rosmaster.master][INFO] 2020-09-15 01:10:50,505: +PARAM [/imu_filter_madgwick/orientation_stddev] by /imu_filter_madgwick
[rosmaster.master][INFO] 2020-09-15 01:10:50,511: +PARAM [/imu_filter_madgwick/gain] by /imu_filter_madgwick
[rosmaster.master][INFO] 2020-09-15 01:10:50,512: +PUB [/rosout] /heima_base_node http://192.168.43.172:36451/
[rosmaster.master][INFO] 2020-09-15 01:10:50,515: +SERVICE [/heima_base_node/get_loggers] /heima_base_node http://192.168.43.172:36451/
[rosmaster.master][INFO] 2020-09-15 01:10:50,518: +SERVICE [/heima_base_node/set_logger_level] /heima_base_node http://192.168.43.172:36451/
[rosmaster.master][INFO] 2020-09-15 01:10:50,522: +PARAM [/imu_filter_madgwick/zeta] by /imu_filter_madgwick
[rosmaster.master][INFO] 2020-09-15 01:10:50,524: +PUB [/tf] /heima_base_node http://192.168.43.172:36451/
[rosmaster.master][INFO] 2020-09-15 01:10:50,526: +PARAM [/imu_filter_madgwick/mag_bias_x] by /imu_filter_madgwick
[rosmaster.master][INFO] 2020-09-15 01:10:50,531: +PARAM [/imu_filter_madgwick/mag_bias_y] by /imu_filter_madgwick
[rosmaster.master][INFO] 2020-09-15 01:10:50,537: +PARAM [/imu_filter_madgwick/mag_bias_z] by /imu_filter_madgwick
[rosmaster.master][INFO] 2020-09-15 01:10:50,544: +PARAM [/imu_filter_madgwick/orientation_stddev] by /imu_filter_madgwick
[rosmaster.master][INFO] 2020-09-15 01:10:50,549: publisherUpdate[/rosout] -> http://192.168.43.172:37923/ ['http://192.168.43.172:38489/', 'http://192.168.43.172:33563/', 'http://192.168.43.172:44915/', 'http://192.168.43.172:36451/']
[rosmaster.master][INFO] 2020-09-15 01:10:50,528: +PUB [/raw_odom] /heima_base_node http://192.168.43.172:36451/
[rosmaster.master][INFO] 2020-09-15 01:10:50,556: +PUB [/imu/data] /imu_filter_madgwick http://192.168.43.172:33563/
[rosmaster.master][INFO] 2020-09-15 01:10:50,566: publisherUpdate[/rosout] -> http://192.168.43.172:37923/ ['http://192.168.43.172:38489/', 'http://192.168.43.172:33563/', 'http://192.168.43.172:44915/', 'http://192.168.43.172:36451/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2020-09-15 01:10:50,598: +PUB [/rosout] /base_footprint_to_base_link http://192.168.43.172:36055/
[rosmaster.master][INFO] 2020-09-15 01:10:50,614: +SUB [/zxcar/get_vel] /heima_base_node http://192.168.43.172:36451/
[rosmaster.master][INFO] 2020-09-15 01:10:50,623: +SERVICE [/base_footprint_to_base_link/get_loggers] /base_footprint_to_base_link http://192.168.43.172:36055/
